PROPERTY  MARKET  YIELDS  -  PRIVATE  DOMESTIC [MONTHLY[DOMESTIC]],,,,,,,,,,
Month,Domestic Class A,Domestic Class A - Remarks,Domestic Class B,Domestic Class B - Remarks,Domestic Class C,Domestic Class C - Remarks,Domestic Class D,Domestic Class D - Remarks,Domestic Class E,Domestic Class E - Remarks
08-2020,2.4,,2.2,,2.2,,2,,1.9,
09-2020,2.4,,2.2,,2.1,,2,,1.9,
10-2020,2.4,,2.2,,2.1,,2.1,,2,
11-2020,2.4,,2.2,,2.2,,2.1,,2,
12-2020,2.4,,2.2,,2.1,,2,,1.9,
01-2021,2.3,,2.2,,2.1,,2.1,,1.9,
02-2021,2.3,,2.1,,2.1,,2,,1.8,
03-2021,2.3,,2.1,,2,,1.9,,1.8,
04-2021,2.3,,2.1,,2.1,,2,,1.9,
05-2021,2.3,,2.1,,2.1,,2,,1.9,
06-2021,2.4,,2.1,,2.1,,2,,1.9,
07-2021,2.3,,2.1,,2.1,,2,,1.9,
08-2021,2.4,,2.2,,2.1,,2,,1.9,
09-2021,2.4,,2.2,,2.1,,1.9,,2,
10-2021,2.4,,2.2,,2.1,,2,,2,
11-2021,2.4,,2.2,,2.1,,2,,2.1,
12-2021,2.4,,2.2,,2.1,,2,,2.1,
01-2022,2.4,,2.2,,2.1,,2.1,,2,
02-2022,2.4,,2.2,,2.1,,2.1,,2.1,
03-2022,2.4,,2.2,,2.1,,2.1,,2.1,
04-2022,2.4,,2.2,,2.1,,2.1,,2.1,
05-2022,2.4,,2.2,,2,,2.1,,2,
06-2022,2.4,,2.2,,2.1,,2.1,,2,
07-2022,2.5,,2.2,,2.1,,2.1,,2,
08-2022,2.6,,2.3,,2.2,,2,,2,
09-2022,2.6,,2.3,,2.1,,2.1,,2,
10-2022,2.7,,2.4,,2.2,,2.1,,2.1,
11-2022,2.8,,2.4,,2.3,,2.1,,2.1,
12-2022,2.8,,2.4,,2.3,,2.1,,2,
01-2023,2.7,,2.4,,2.2,,2.1,,2,
02-2023,2.7,,2.3,,2.2,,2.1,,1.9,
03-2023,2.7,,2.3,,2.1,,2.1,,1.9,
04-2023,2.7,,2.3,,2.2,,2.1,,1.9,
05-2023,2.7,,2.4,,2.2,,2.2,,2,
06-2023,2.8,,2.4,,2.3,,2.2,,2.1,
07-2023,2.9,,2.5,,2.3,,2.2,,2.1,
08-2023,3,,2.6,,2.3,,2.2,,2.1,
09-2023,3.1,,2.6,,2.4,,2.3,,2.1,
10-2023,3.1,,2.7,,2.4,,2.3,,2.2,
11-2023,3.2,,2.7,,2.5,,2.4,,2.2,
12-2023,3.2,,2.8,,2.5,,2.4,,2.2,
